Clc1ccc(C2=NN(C[C@@H]2c2ccccc2)/C(=N\C)/NS(=O)(=O)c2ccc(Cl)cc2)cc1	-8.1
O(C(C)(C)C(=O)O)c1ccc(CC(=O)Nc2cc(cc(c2)C)C)cc1	-6.8
O=C(N(C)C)[C@@H](NC(=O)C(=O)CC(=O)NCCc1ncccc1)Cc1ccccc1	-7.1
O=c1n(c(=O)n(c2ncn(CCN(CC)CC)c12)C)C	-5.7
P(=O)(OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H]1O)(O)O	-4.9
Clc1c(cc([N+](=O)[O-])cc1)C(=O)Nc1ccccc1	-6.6
OCC1=CC[C@H](CC1)C(=C)C	-4.7
O=c1nc([nH]c(NC)c1[N+](=O)[O-])N	-5.2
O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)c2c(CC3)cc(O)cc2)CC1)C	-7.4
O[C@H]([C@@H](NC(=O)OCc1ccccc1)Cc1ccccc1)C(=O)O	-7.0
Fc1c(N2C[C@H](NCC2)C)cc2n(C3CC3)cc(c(=O)c2c1C)C(=O)O	-7.9
Clc1cc2c(n(O)c3n(nc(c3c2=O)C)C)cc1	-6.4
F[C@@H](OC(F)F)C(F)(F)F	-4.3
P(=O)(O)(O)C[C@H]1C[C@](O)(C[C@@H](O)[C@@H]1O)C(=O)O	-5.9
s1c(cc2c1nccc2)C(=[NH2+])N	-5.3
O[C@@H](c1ccc(O)cc1)C#N	-4.6
S(=O)(=O)(N)c1ccc(NC(=S)NN2CCN(CC2)C)cc1	-6.1
O1[C@@H]([C@@H](O)[C@H](O)[C@H](O)[C@H]1O)C(=O)O	-5.6
Clc1cc2C(=N[C@@H](C(=O)Nc2cc1)C(=O)O)c1ccccc1	-7.5
O([C@@H](C(=O)N1Cc2c([nH]nc2NC(=O)c2ccc(N3CCN(CC3)C)cc2)C1)c1ccccc1)C	-6.8
S(C[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)C	-6.4
P(=O)(OCCCc1c2c([nH]c1)cccc2)(O)O	-6.6
Clc1c([C@@H](OCc2c(Cl)cccc2Cl)Cn2ccnc2)ccc(Cl)c1	-6.5
O(c1cc2c(CCN(C(C)C)C(C)C)c[nH]c2cc1)C	-5.9
O=C1C(C(=O)c2c1cccc2)c1ccc(OC)cc1	-6.3
O1[C@@]23[C@@]([C@@H]4[C@H]([C@H]5[C@](CC4)([C@@H](O)CC5)C)CC3)(CC(=C(O)[C@@H]12)C#N)C	-6.4
S(=O)(=O)(N1CCC2(N=C(NC2=O)c2ccc(OC(F)(F)F)cc2)CC1)CCc1c(cc(N2C(C(=O)NC2=O)(C)C)cc1C)C	-8.0
O1Cc2c([C@@](O)(CC)C1=O)cc1n(Cc3c1nc1c(c3/C=N/OC(C)(C)C)cccc1)c2=O	-7.7
O=C/C=C/C	-2.9
O(C(C)(C)C)C(=O)N[C@@H](CC(=O)OC)C(=O)C	-5.1
O1Cc2c([C@@](O)(CC)C1=O)cc1n(Cc3c1nc1c(c3)cccc1)c2=O	-7.5
Clc1ccc(C2=N[C@@H](CC(=O)NCCCN3CCN(CC3)C)c3n(c4sc(c(c24)C)C)c(nn3)C)cc1	-7.5
O=C(Cc1ccc(cc1)C(=N)N)C(=O)O	-5.8
N[C@H](Cc1ccccc1)C	-4.5
O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc1cc2oc(=O)cc(c2cc1)C)CO	-7.3
O(c1nc2c(c(C(=O)NCCN(CC)CC)c1)cccc2)CCCC	-6.0
O(C(=O)CN(CC)CC)c1ccc(NC(=O)C)cc1	-5.7
O(C1CN(C(CCC(c2ccccc2)(c2ccccc2)C(=O)N)(C)C)C1)c1cc(O)ccc1	-7.2
S(=O)(=O)(N)c1c2c(c(N(C)C)ccc2)ccc1	-5.8
O([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)C(=O)CCCCCCCCCC	-6.9
n12nc(c(c1cccc2)c1nnc2[nH]nc(N)c2c1)c1ccccc1	-8.7
S(c1cc(c(NC)cc1)C(=O)Nc1scc(n1)C)c1n(C)cnn1	-6.9
O1CCN(CC1)c1ccc(Nc2nc(NC3CCCCC3)c3[nH]cnc3n2)cc1	-7.6
O(N=C1c2c(c3c1cccc3)cccc2)C[C@H](C)C(=O)O	-7.2
Clc1cc2c(N(C(=O)CN=C2c2c(F)cccc2)C)cc1	-6.9
O=C(N[C@@H]1CCCNC1)c1cc(OC)c(OC)c(OC)c1	-6.0
OCC(NC(=O)c1cc2c(c3[nH]c4ncccc4c3)cn(c2cc1)C)(C)C	-7.4
o1c(/C=N/N2CC(=O)NC2=O)ccc1[N+](=O)[O-]	-6.5
FC(F)(F)c1ccc(C(=O)Nc2ccc(Cc3nc(N(C)C)c(c(N(C)C)n3)CC(=O)O)cc2)cc1	-7.3
O=C(N(CC)CC)[C@]1([C@@H](C1)CN)c1ccccc1	-5.2
O=C(/C=C/c1c2c(n(c1)C)cccc2)C	-5.8
BrN(CCOP(=O)(O)O)C(=O)C	-4.7
Clc1nc(c(O)c2c1cccc2)C(=O)NCC(=O)O	-6.6
Clc1cc2c(n(c3nc4c(nc23)cc(c(c4)C)C)CC(=O)NCCN(C)C)cc1	-7.1
Clc1c([nH]c(=O)[nH]c1=O)CN1CCCC1=N	-5.8
ClCCc1scnc1C	-3.8
O1C[C@H]([C@H](c2c1c(c(O)cc2)C)c1ccc(O)cc1)c1ccc(O)cc1	-7.5
s1c2c(CCOC2)c(c1NC(=O)C(=O)O)C(=O)O	-6.0
s1c(C(=O)NC2(CCCC2)C(=O)N[C@@H](C(=O)NCC2CCN(CC2)CC2CCOCC2)Cc2ccccc2)cc2c1cc(cc2)C	-8.3
S1[C@H]2N(C(=O)[C@@]2(OC)NC(=O)CSCC#N)C(=C(C1)CSc1n(nnn1)C)C(=O)O	-5.2
Clc1ccc(NC(=O)Nc2n(nc(C(C)(C)C)c2)C)cc1	-6.4
S1c2c(N(C[C@@H](CN3CCN(CC3)CCOCCO)C)c3c1cccc3)cccc2	-6.8
O1[C@@H](n2c3ncnc(N)c3nc2)[C@@H](O)[C@H](O)[C@H]1CO	-6.6
Oc1cc2[C@H]3[C@@H](NCc4c3cccc4)CCc2cc1O	-8.0
